date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:24:02	28505/28505	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Aug%202025%2018:24:05%20GMT	https://client.schwab.com/Areas/Access/Login	C:/Users/philip%20godwin/Desktop/goddy/schlogin/client.schwab.com/Areas/Access/Login.html	(from )
11:24:02	892/892	---M--	200	added ('OK')	text/plain	date:Tue,%2019%20Aug%202025%2018:24:06%20GMT	https://client.schwab.com/robots.txt		(from )
11:24:04	159773/159773	---M-Z	200	added ('OK')	text/css	etag:%2209f6616f7db1:0%22	https://client.schwabcdn.com/Areas/Access/Content/login/dist/loginV2.5dd8a35382e31271944e.css	C:/Users/philip%20godwin/Desktop/goddy/schlogin/client.schwabcdn.com/Areas/Access/Content/login/dist/loginV2.5dd8a35382e31271944e.css	(from https://client.schwab.com/Areas/Access/Login)
11:24:04	6198/6198	---M-Z	200	added ('OK')	text/html	etag:%2201eeb22956dc1:0%22	https://client.schwab.com/Areas/Access/ak.m	C:/Users/philip%20godwin/Desktop/goddy/schlogin/client.schwab.com/Areas/Access/ak.html	(from https://client.schwab.com/Areas/Access/Login)
11:24:05	6198/6198	---M-Z	200	added ('OK')	text/html	etag:%2201eeb22956dc1:0%22	https://client.schwab.com/Areas/Access/ak.t	C:/Users/philip%20godwin/Desktop/goddy/schlogin/client.schwab.com/Areas/Access/ak-2.html	(from https://client.schwab.com/Areas/Access/Login)
11:24:06	290/-1	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2019%20Aug%202025%2018:24:10%20GMT	https://client.schwab.com/Areas/Access/location	C:/Users/philip%20godwin/Desktop/goddy/schlogin/client.schwab.com/Areas/Access/location	(from https://client.schwab.com/Areas/Access/Login)
11:24:07	310/-1	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2019%20Aug%202025%2018:24:11%20GMT	https://client.schwab.com/Areas/Access/Logout?ReturnUrl=%2fAreas%2fAccess%2flocation	C:/Users/philip%20godwin/Desktop/goddy/schlogin/client.schwab.com/Areas/Access/Logout.592cc.delayed	(from https://client.schwab.com/Areas/Access/Login)
11:24:08	29263/29263	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Aug%202025%2018:24:12%20GMT	https://client.schwab.com/Areas/Access/Login?SessionTimeOut=y&ReturnUrl=%2fAreas%2fAccess%2flocation	C:/Users/philip%20godwin/Desktop/goddy/schlogin/client.schwab.com/Areas/Access/Logind3d7.html	(from https://client.schwab.com/Areas/Access/Login)
11:24:10	286/-1	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2019%20Aug%202025%2018:24:14%20GMT	https://client.schwab.com/Areas/Access/POST	C:/Users/philip%20godwin/Desktop/goddy/schlogin/client.schwab.com/Areas/Access/POST	(from https://client.schwab.com/Areas/Access/Login)
11:24:12	306/-1	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2019%20Aug%202025%2018:24:16%20GMT	https://client.schwab.com/Areas/Access/Logout?ReturnUrl=%2fAreas%2fAccess%2fPOST	C:/Users/philip%20godwin/Desktop/goddy/schlogin/client.schwab.com/Areas/Access/Logout.8d068.delayed	(from https://client.schwab.com/Areas/Access/Login)
